"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GFCF","TOT","QGRWTH","Q","2017-Q4",3.042313081,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q1",0.489020011,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q2",0.20843272,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q3",-1.462445581,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q4",-1.296769139,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q1",1.319295613,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q2",-0.410636362,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q3",1.819780937,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q4",-1.006278107,
"CAN","GFCF","TOT","QGRWTH","Q","2020-Q1",0.473395403,
"CAN","GFCF","TOT","QGRWTH","Q","2020-Q2",-13.127259297,
"CAN","GFCF","TOT","QGRWTH","Q","2020-Q3",13.65541834,
"CAN","GFCF","TOT","QGRWTH","Q","2020-Q4",2.334760018,
"CAN","GFCF","TOT","QGRWTH","Q","2021-Q1",4.053476291,
"CAN","GFCF","TOT","QGRWTH","Q","2021-Q2",-0.573754612,
"CAN","GFCF","TOT","QGRWTH","Q","2021-Q3",-3.253836041,
"CAN","GFCF","TOT","QGRWTH","Q","2021-Q4",2.282536043,
"CAN","GFCF","TOT","QGRWTH","Q","2022-Q1",1.604293118,
"CAN","GFCF","TOT","QGRWTH","Q","2022-Q2",-2.319246767,
"CZE","GFCF","TOT","QGRWTH","Q","2017-Q1",2.010205972,
"CZE","GFCF","TOT","QGRWTH","Q","2017-Q2",2.206350936,
"CZE","GFCF","TOT","QGRWTH","Q","2017-Q3",1.795596621,
"CZE","GFCF","TOT","QGRWTH","Q","2017-Q4",2.468794927,
"CZE","GFCF","TOT","QGRWTH","Q","2018-Q1",2.987251914,
"CZE","GFCF","TOT","QGRWTH","Q","2018-Q2",2.517164536,
"CZE","GFCF","TOT","QGRWTH","Q","2018-Q3",2.522830146,
"CZE","GFCF","TOT","QGRWTH","Q","2018-Q4",0.817770046,
"CZE","GFCF","TOT","QGRWTH","Q","2019-Q1",2.752983581,
"CZE","GFCF","TOT","QGRWTH","Q","2019-Q2",-0.010772142,
"CZE","GFCF","TOT","QGRWTH","Q","2019-Q3",0.763523257,
"CZE","GFCF","TOT","QGRWTH","Q","2019-Q4",0.619842641,
"CZE","GFCF","TOT","QGRWTH","Q","2020-Q1",-4.419790154,
"CZE","GFCF","TOT","QGRWTH","Q","2020-Q2",-2.381637871,
"CZE","GFCF","TOT","QGRWTH","Q","2020-Q3",-1.73775164,
"CZE","GFCF","TOT","QGRWTH","Q","2020-Q4",0.579489633,
"CZE","GFCF","TOT","QGRWTH","Q","2021-Q1",-0.537740838,
"CZE","GFCF","TOT","QGRWTH","Q","2021-Q2",1.380732133,
"CZE","GFCF","TOT","QGRWTH","Q","2021-Q3",1.66080151,
"CZE","GFCF","TOT","QGRWTH","Q","2021-Q4",1.385506227,
"CZE","GFCF","TOT","QGRWTH","Q","2022-Q1",2.289371041,
"CZE","GFCF","TOT","QGRWTH","Q","2022-Q2",0.649789194,
"DNK","GFCF","TOT","QGRWTH","Q","2017-Q1",-2.854684219,
"DNK","GFCF","TOT","QGRWTH","Q","2017-Q2",3.573255738,
"DNK","GFCF","TOT","QGRWTH","Q","2017-Q3",2.326675429,
"DNK","GFCF","TOT","QGRWTH","Q","2017-Q4",1.939266773,
"DNK","GFCF","TOT","QGRWTH","Q","2018-Q1",-1.415393441,
"DNK","GFCF","TOT","QGRWTH","Q","2018-Q2",12.038884695,
"DNK","GFCF","TOT","QGRWTH","Q","2018-Q3",-12.205556785,
"DNK","GFCF","TOT","QGRWTH","Q","2018-Q4",-0.363317406,
"DNK","GFCF","TOT","QGRWTH","Q","2019-Q1",3.866551779,
"DNK","GFCF","TOT","QGRWTH","Q","2019-Q2",-2.945969144,
"DNK","GFCF","TOT","QGRWTH","Q","2019-Q3",2.688946758,
"DNK","GFCF","TOT","QGRWTH","Q","2019-Q4",-0.547677623,
"DNK","GFCF","TOT","QGRWTH","Q","2020-Q1",1.651536873,
"DNK","GFCF","TOT","QGRWTH","Q","2020-Q2",-2.897045862,
"DNK","GFCF","TOT","QGRWTH","Q","2020-Q3",6.231534696,
"DNK","GFCF","TOT","QGRWTH","Q","2020-Q4",9.221609187,
"DNK","GFCF","TOT","QGRWTH","Q","2021-Q1",-4.942141497,
"DNK","GFCF","TOT","QGRWTH","Q","2021-Q2",3.401450637,
"DNK","GFCF","TOT","QGRWTH","Q","2021-Q3",-1.364815738,
"DNK","GFCF","TOT","QGRWTH","Q","2021-Q4",2.213529119,
"DNK","GFCF","TOT","QGRWTH","Q","2022-Q1",3.04880095,
"DNK","GFCF","TOT","QGRWTH","Q","2022-Q2",0.162591918,
"FIN","GFCF","TOT","QGRWTH","Q","2017-Q1",1.913057636,
"FIN","GFCF","TOT","QGRWTH","Q","2017-Q2",1.557632399,
"FIN","GFCF","TOT","QGRWTH","Q","2017-Q3",2.847254994,
"FIN","GFCF","TOT","QGRWTH","Q","2017-Q4",-1.124197002,
"FIN","GFCF","TOT","QGRWTH","Q","2018-Q1",2.351303272,
"FIN","GFCF","TOT","QGRWTH","Q","2018-Q2",-0.324945213,
"FIN","GFCF","TOT","QGRWTH","Q","2018-Q3",0.439727066,
"FIN","GFCF","TOT","QGRWTH","Q","2018-Q4",1.38134058,
"FIN","GFCF","TOT","QGRWTH","Q","2019-Q1",-2.628248083,
"FIN","GFCF","TOT","QGRWTH","Q","2019-Q2",0.443492889,
"FIN","GFCF","TOT","QGRWTH","Q","2019-Q3",-0.639464068,
"FIN","GFCF","TOT","QGRWTH","Q","2019-Q4",-0.015323322,
"FIN","GFCF","TOT","QGRWTH","Q","2020-Q1",-0.383141762,
"FIN","GFCF","TOT","QGRWTH","Q","2020-Q2",-0.707692308,
"FIN","GFCF","TOT","QGRWTH","Q","2020-Q3",1.038115897,
"FIN","GFCF","TOT","QGRWTH","Q","2020-Q4",-1.104125134,
"FIN","GFCF","TOT","QGRWTH","Q","2021-Q1",-0.10854396,
"FIN","GFCF","TOT","QGRWTH","Q","2021-Q2",2.926109904,
"FIN","GFCF","TOT","QGRWTH","Q","2021-Q3",-1.839981902,
"FIN","GFCF","TOT","QGRWTH","Q","2021-Q4",3.28800799,
"FIN","GFCF","TOT","QGRWTH","Q","2022-Q1",2.521383414,
"FIN","GFCF","TOT","QGRWTH","Q","2022-Q2",-1.799187464,
"FRA","GFCF","TOT","QGRWTH","Q","2017-Q1",2.459491449,
"FRA","GFCF","TOT","QGRWTH","Q","2017-Q2",1.047897513,
"FRA","GFCF","TOT","QGRWTH","Q","2017-Q3",1.231774305,
"FRA","GFCF","TOT","QGRWTH","Q","2017-Q4",0.9413874,
"FRA","GFCF","TOT","QGRWTH","Q","2018-Q1",0.140890387,
"FRA","GFCF","TOT","QGRWTH","Q","2018-Q2",1.219460516,
"FRA","GFCF","TOT","QGRWTH","Q","2018-Q3",0.654032592,
"FRA","GFCF","TOT","QGRWTH","Q","2018-Q4",0.931113343,
"FRA","GFCF","TOT","QGRWTH","Q","2019-Q1",1.133747939,
"FRA","GFCF","TOT","QGRWTH","Q","2019-Q2",1.665961588,
"FRA","GFCF","TOT","QGRWTH","Q","2019-Q3",0.612148079,
"FRA","GFCF","TOT","QGRWTH","Q","2019-Q4",0.243152156,
"FRA","GFCF","TOT","QGRWTH","Q","2020-Q1",-9.367661531,
"FRA","GFCF","TOT","QGRWTH","Q","2020-Q2",-14.385232571,
"FRA","GFCF","TOT","QGRWTH","Q","2020-Q3",23.934294946,
"FRA","GFCF","TOT","QGRWTH","Q","2020-Q4",2.500980526,
"FRA","GFCF","TOT","QGRWTH","Q","2021-Q1",0.959094094,
"FRA","GFCF","TOT","QGRWTH","Q","2021-Q2",2.026881814,
"FRA","GFCF","TOT","QGRWTH","Q","2021-Q3",0.147594228,
"FRA","GFCF","TOT","QGRWTH","Q","2021-Q4",-0.100193423,
"FRA","GFCF","TOT","QGRWTH","Q","2022-Q1",0.557520336,
"FRA","GFCF","TOT","QGRWTH","Q","2022-Q2",0.395202397,
"FRA","GFCF","TOT","QGRWTH","Q","2022-Q3",1.267180209,
"DEU","GFCF","TOT","QGRWTH","Q","2017-Q1",0.60434174,
"DEU","GFCF","TOT","QGRWTH","Q","2017-Q2",2.192225875,
"DEU","GFCF","TOT","QGRWTH","Q","2017-Q3",0.946132138,
"DEU","GFCF","TOT","QGRWTH","Q","2017-Q4",0.426873674,
"DEU","GFCF","TOT","QGRWTH","Q","2018-Q1",0.214802208,
"DEU","GFCF","TOT","QGRWTH","Q","2018-Q2",1.410791277,
"DEU","GFCF","TOT","QGRWTH","Q","2018-Q3",1.236576965,
"DEU","GFCF","TOT","QGRWTH","Q","2018-Q4",0.682603106,
"DEU","GFCF","TOT","QGRWTH","Q","2019-Q1",0.343407795,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2019-Q2",0.10667217,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2019-Q3",0.479530847,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2019-Q4",-0.627482683,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2020-Q1",-0.775898633,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2020-Q2",-6.812482764,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2020-Q3",5.19431174,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2020-Q4",2.514622549,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2021-Q1",-1.453967691,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2021-Q2",1.493478915,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2021-Q3",-2.345490576,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2021-Q4",-0.045660333,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2022-Q1",2.074003288,"P"
"DEU","GFCF","TOT","QGRWTH","Q","2022-Q2",-1.333684676,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2017-Q1",-14.57121781,
"GRC","GFCF","TOT","QGRWTH","Q","2017-Q2",-1.624315066,
"GRC","GFCF","TOT","QGRWTH","Q","2017-Q3",45.307190011,
"GRC","GFCF","TOT","QGRWTH","Q","2017-Q4",-14.079757788,
"GRC","GFCF","TOT","QGRWTH","Q","2018-Q1",-9.426733829,
"GRC","GFCF","TOT","QGRWTH","Q","2018-Q2",17.279850082,
"GRC","GFCF","TOT","QGRWTH","Q","2018-Q3",-24.513654403,
"GRC","GFCF","TOT","QGRWTH","Q","2018-Q4",7.06409142,
"GRC","GFCF","TOT","QGRWTH","Q","2019-Q1",3.481857294,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2019-Q2",-1.322813061,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2019-Q3",-0.671728931,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2019-Q4",-0.308745596,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2020-Q1",0.229938315,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2020-Q2",-1.486291799,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2020-Q3",4.030079645,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2020-Q4",-2.196567849,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2021-Q1",13.97471662,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2021-Q2",2.961716308,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2021-Q3",4.022033779,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2021-Q4",1.739665976,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2022-Q1",3.734497333,"P"
"GRC","GFCF","TOT","QGRWTH","Q","2022-Q2",-0.951800494,"P"
"HUN","GFCF","TOT","QGRWTH","Q","2017-Q1",8.692856241,
"HUN","GFCF","TOT","QGRWTH","Q","2017-Q2",3.66481479,
"HUN","GFCF","TOT","QGRWTH","Q","2017-Q3",1.992711686,
"HUN","GFCF","TOT","QGRWTH","Q","2017-Q4",2.089530933,
"HUN","GFCF","TOT","QGRWTH","Q","2018-Q1",3.855170787,
"HUN","GFCF","TOT","QGRWTH","Q","2018-Q2",7.00990195,
"HUN","GFCF","TOT","QGRWTH","Q","2018-Q3",4.100113821,
"HUN","GFCF","TOT","QGRWTH","Q","2018-Q4",2.722049012,
"HUN","GFCF","TOT","QGRWTH","Q","2019-Q1",6.233523075,
"HUN","GFCF","TOT","QGRWTH","Q","2019-Q2",1.256756423,
"HUN","GFCF","TOT","QGRWTH","Q","2019-Q3",2.07863536,
"HUN","GFCF","TOT","QGRWTH","Q","2019-Q4",-6.198609673,
"HUN","GFCF","TOT","QGRWTH","Q","2020-Q1",-1.289569138,
"HUN","GFCF","TOT","QGRWTH","Q","2020-Q2",-5.400795183,
"HUN","GFCF","TOT","QGRWTH","Q","2020-Q3",-0.755519907,
"HUN","GFCF","TOT","QGRWTH","Q","2020-Q4",7.786926165,
"HUN","GFCF","TOT","QGRWTH","Q","2021-Q1",-3.337154158,
"HUN","GFCF","TOT","QGRWTH","Q","2021-Q2",5.410052378,
"HUN","GFCF","TOT","QGRWTH","Q","2021-Q3",1.949205869,
"HUN","GFCF","TOT","QGRWTH","Q","2021-Q4",-1.323076539,
"HUN","GFCF","TOT","QGRWTH","Q","2022-Q1",4.35290307,
"HUN","GFCF","TOT","QGRWTH","Q","2022-Q2",0.98236546,
"ISL","GFCF","TOT","QGRWTH","Q","2017-Q1",-7.892710981,
"ISL","GFCF","TOT","QGRWTH","Q","2017-Q2",17.784040346,
"ISL","GFCF","TOT","QGRWTH","Q","2017-Q3",-0.67716773,
"ISL","GFCF","TOT","QGRWTH","Q","2017-Q4",-3.083299701,
"ISL","GFCF","TOT","QGRWTH","Q","2018-Q1",-0.273768539,
"ISL","GFCF","TOT","QGRWTH","Q","2018-Q2",10.890980612,
"ISL","GFCF","TOT","QGRWTH","Q","2018-Q3",-12.985362273,
"ISL","GFCF","TOT","QGRWTH","Q","2018-Q4",4.931452645,
"ISL","GFCF","TOT","QGRWTH","Q","2019-Q1",-7.234106326,
"ISL","GFCF","TOT","QGRWTH","Q","2019-Q2",8.798448219,
"ISL","GFCF","TOT","QGRWTH","Q","2019-Q3",0.869021639,
"ISL","GFCF","TOT","QGRWTH","Q","2019-Q4",-3.24891441,
"ISL","GFCF","TOT","QGRWTH","Q","2020-Q1",-10.445777096,
"ISL","GFCF","TOT","QGRWTH","Q","2020-Q2",0.392418659,
"ISL","GFCF","TOT","QGRWTH","Q","2020-Q3",-1.778726184,
"ISL","GFCF","TOT","QGRWTH","Q","2020-Q4",5.279786401,
"ISL","GFCF","TOT","QGRWTH","Q","2021-Q1",-5.496186399,
"ISL","GFCF","TOT","QGRWTH","Q","2021-Q2",25.548678195,
"ISL","GFCF","TOT","QGRWTH","Q","2021-Q3",-8.729194211,
"ISL","GFCF","TOT","QGRWTH","Q","2021-Q4",5.537641032,
"ISL","GFCF","TOT","QGRWTH","Q","2022-Q1",-1.303236644,
"ISL","GFCF","TOT","QGRWTH","Q","2022-Q2",-0.504505675,
"IRL","GFCF","TOT","QGRWTH","Q","2017-Q1",-45.728990776,
"IRL","GFCF","TOT","QGRWTH","Q","2017-Q2",225.218796745,
"IRL","GFCF","TOT","QGRWTH","Q","2017-Q3",-71.683267545,
"IRL","GFCF","TOT","QGRWTH","Q","2017-Q4",-0.535130594,
"IRL","GFCF","TOT","QGRWTH","Q","2018-Q1",7.952074776,
"IRL","GFCF","TOT","QGRWTH","Q","2018-Q2",7.641240271,
"IRL","GFCF","TOT","QGRWTH","Q","2018-Q3",12.805888727,
"IRL","GFCF","TOT","QGRWTH","Q","2018-Q4",98.232714996,
"IRL","GFCF","TOT","QGRWTH","Q","2019-Q1",-53.017839863,
"IRL","GFCF","TOT","QGRWTH","Q","2019-Q2",220.068754771,
"IRL","GFCF","TOT","QGRWTH","Q","2019-Q3",-63.480134394,
"IRL","GFCF","TOT","QGRWTH","Q","2019-Q4",297.289625118,
"IRL","GFCF","TOT","QGRWTH","Q","2020-Q1",-11.695963879,
"IRL","GFCF","TOT","QGRWTH","Q","2020-Q2",-77.390741351,
"IRL","GFCF","TOT","QGRWTH","Q","2020-Q3",43.342027877,
"IRL","GFCF","TOT","QGRWTH","Q","2020-Q4",46.980450236,
"IRL","GFCF","TOT","QGRWTH","Q","2021-Q1",-50.654079126,
"IRL","GFCF","TOT","QGRWTH","Q","2021-Q2",5.792458079,
"IRL","GFCF","TOT","QGRWTH","Q","2021-Q3",2.077773718,
"IRL","GFCF","TOT","QGRWTH","Q","2021-Q4",95.873464619,
"IRL","GFCF","TOT","QGRWTH","Q","2022-Q1",-45.316142964,
"IRL","GFCF","TOT","QGRWTH","Q","2022-Q2",17.859481889,
"ITA","GFCF","TOT","QGRWTH","Q","2017-Q1",-0.402339806,
"ITA","GFCF","TOT","QGRWTH","Q","2017-Q2",1.27626417,
"ITA","GFCF","TOT","QGRWTH","Q","2017-Q3",1.652766497,
"ITA","GFCF","TOT","QGRWTH","Q","2017-Q4",1.616285269,
"ITA","GFCF","TOT","QGRWTH","Q","2018-Q1",-0.274358018,
"ITA","GFCF","TOT","QGRWTH","Q","2018-Q2",1.374914596,
"ITA","GFCF","TOT","QGRWTH","Q","2018-Q3",-0.510730334,
"ITA","GFCF","TOT","QGRWTH","Q","2018-Q4",-0.081652103,
"ITA","GFCF","TOT","QGRWTH","Q","2019-Q1",0.659421962,
"ITA","GFCF","TOT","QGRWTH","Q","2019-Q2",1.043220603,
"ITA","GFCF","TOT","QGRWTH","Q","2019-Q3",0.029400806,
"ITA","GFCF","TOT","QGRWTH","Q","2019-Q4",-1.075094448,
"ITA","GFCF","TOT","QGRWTH","Q","2020-Q1",-8.261999898,
"ITA","GFCF","TOT","QGRWTH","Q","2020-Q2",-14.979611267,
"ITA","GFCF","TOT","QGRWTH","Q","2020-Q3",27.718447877,
"ITA","GFCF","TOT","QGRWTH","Q","2020-Q4",0.218426506,
"ITA","GFCF","TOT","QGRWTH","Q","2021-Q1",3.396768586,
"ITA","GFCF","TOT","QGRWTH","Q","2021-Q2",2.76682539,
"ITA","GFCF","TOT","QGRWTH","Q","2021-Q3",2.733501144,
"ITA","GFCF","TOT","QGRWTH","Q","2021-Q4",2.682391707,
"ITA","GFCF","TOT","QGRWTH","Q","2022-Q1",3.872700659,
"ITA","GFCF","TOT","QGRWTH","Q","2022-Q2",1.129104407,
"JPN","GFCF","TOT","QGRWTH","Q","2017-Q1",0.282261866,
"JPN","GFCF","TOT","QGRWTH","Q","2017-Q2",0.89490888,
"JPN","GFCF","TOT","QGRWTH","Q","2017-Q3",0.001878105,
"JPN","GFCF","TOT","QGRWTH","Q","2017-Q4",-0.020947703,
"JPN","GFCF","TOT","QGRWTH","Q","2018-Q1",0.509930569,
"JPN","GFCF","TOT","QGRWTH","Q","2018-Q2",0.76331543,
"JPN","GFCF","TOT","QGRWTH","Q","2018-Q3",-2.035615967,
"JPN","GFCF","TOT","QGRWTH","Q","2018-Q4",1.304931651,
"JPN","GFCF","TOT","QGRWTH","Q","2019-Q1",0.868188836,
"JPN","GFCF","TOT","QGRWTH","Q","2019-Q2",0.162123642,
"JPN","GFCF","TOT","QGRWTH","Q","2019-Q3",1.30228918,
"JPN","GFCF","TOT","QGRWTH","Q","2019-Q4",-5.024620232,
"JPN","GFCF","TOT","QGRWTH","Q","2020-Q1",1.231839099,
"JPN","GFCF","TOT","QGRWTH","Q","2020-Q2",-3.829737499,
"JPN","GFCF","TOT","QGRWTH","Q","2020-Q3",-0.982971748,
"JPN","GFCF","TOT","QGRWTH","Q","2020-Q4",1.033157228,
"JPN","GFCF","TOT","QGRWTH","Q","2021-Q1",0.620859576,
"JPN","GFCF","TOT","QGRWTH","Q","2021-Q2",0.282141407,
"JPN","GFCF","TOT","QGRWTH","Q","2021-Q3",-2.287426042,
"JPN","GFCF","TOT","QGRWTH","Q","2021-Q4",-0.912932921,
"JPN","GFCF","TOT","QGRWTH","Q","2022-Q1",-0.987326563,
"JPN","GFCF","TOT","QGRWTH","Q","2022-Q2",1.21498929,
"KOR","GFCF","TOT","QGRWTH","Q","2017-Q1",3.977666172,
"KOR","GFCF","TOT","QGRWTH","Q","2017-Q2",2.378133447,
"KOR","GFCF","TOT","QGRWTH","Q","2017-Q3",1.395109888,
"KOR","GFCF","TOT","QGRWTH","Q","2017-Q4",-1.655248469,
"KOR","GFCF","TOT","QGRWTH","Q","2018-Q1",1.820400251,
"KOR","GFCF","TOT","QGRWTH","Q","2018-Q2",-3.864925131,
"KOR","GFCF","TOT","QGRWTH","Q","2018-Q3",-2.720810886,
"KOR","GFCF","TOT","QGRWTH","Q","2018-Q4",1.016508468,
"KOR","GFCF","TOT","QGRWTH","Q","2019-Q1",-2.44355792,
"KOR","GFCF","TOT","QGRWTH","Q","2019-Q2",2.14104401,
"KOR","GFCF","TOT","QGRWTH","Q","2019-Q3",-0.860767039,
"KOR","GFCF","TOT","QGRWTH","Q","2019-Q4",3.203740389,
"KOR","GFCF","TOT","QGRWTH","Q","2020-Q1",0.763390861,
"KOR","GFCF","TOT","QGRWTH","Q","2020-Q2",-0.568331365,
"KOR","GFCF","TOT","QGRWTH","Q","2020-Q3",0.749642537,
"KOR","GFCF","TOT","QGRWTH","Q","2020-Q4",1.29193754,
"KOR","GFCF","TOT","QGRWTH","Q","2021-Q1",2.220944975,"P"
"KOR","GFCF","TOT","QGRWTH","Q","2021-Q2",-0.1255582,"P"
"KOR","GFCF","TOT","QGRWTH","Q","2021-Q3",-1.692828007,"P"
"KOR","GFCF","TOT","QGRWTH","Q","2021-Q4",1.144289989,"P"
"KOR","GFCF","TOT","QGRWTH","Q","2022-Q1",-2.646109552,"P"
"KOR","GFCF","TOT","QGRWTH","Q","2022-Q2",0.258235237,"P"
"KOR","GFCF","TOT","QGRWTH","Q","2022-Q3",2.349245315,"P"
"LUX","GFCF","TOT","QGRWTH","Q","2017-Q1",8.175380158,
"LUX","GFCF","TOT","QGRWTH","Q","2017-Q2",3.38659647,
"LUX","GFCF","TOT","QGRWTH","Q","2017-Q3",-14.025801482,
